sampleOverall,sampleIndiv,GC,normcov
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,53,738079
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,54,726532
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,55,681007
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,56,617178
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,57,540586
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,58,457764
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,59,375179
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,60,294264
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,61,222904
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,62,163093
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,63,115670
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,64,79352
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,65,52486
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,66,34269
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,67,20139
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,68,12501
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,69,7280
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,70,4489
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,71,2555
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,72,1583
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,73,794
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,74,343
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,75,109
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,76,105
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,77,147
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,78,98
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,79,65
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,80,13
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,20,3
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,21,3
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,22,74
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,23,115
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,24,124
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,25,230
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,26,187
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,27,492
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,28,755
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,29,950
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,30,1256
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,31,1885
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,32,2782
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,33,4347
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,34,5518
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,35,7459
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,36,9214
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,37,12203
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,38,16234
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,39,20644
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,40,24983
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,41,30285
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,42,37964
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,43,46895
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,44,57141
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,45,69504
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,46,83858
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,47,100993
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,48,122721
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,49,150221
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,50,181543
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,51,222878
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,52,269605
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,53,328047
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,54,395728
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,55,471516
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,56,552769
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,57,630584
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,58,708913
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,59,769129
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,60,813493
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,61,831112
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,62,820698
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,63,769642
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,64,697999
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,65,607746
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,66,506359
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,67,407366
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,68,308405
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,69,223355
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,70,155416
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,71,101494
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,72,62616
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,73,36819
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,74,20492
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,75,10690
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,76,5506
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,77,2757
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,78,1581
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,79,599
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,80,177
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,81,112
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,82,54
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,83,24
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,84,2
Genapsys_LAB01_Pflu_REP01,Genapsys_LAB01_Pflu_REP01,
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,8,2
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,9,10
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,10,17
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,11,91
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,12,203
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,13,375
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,14,715
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,15,1236
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,16,2172
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,17,3555
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,18,5303
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,19,8196
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,20,11911
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,21,15801
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,22,20950
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,23,28471
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,24,36537
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,25,46100
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,26,57283
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,27,70745
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,28,84342
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,29,102108
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,30,121737
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,31,141715
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,32,163147
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,33,185807
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,34,205631
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,35,228590
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,36,246987
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,37,264987
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,38,281379
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,39,296226
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,40,306181
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,41,310062
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,42,312016
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,43,306860
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,44,298620
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,45,287858
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,46,274211
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,47,262477
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,48,249974
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,49,236067
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,50,225788
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,51,219775
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,52,215822
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,53,211145
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,54,208763
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,55,206920
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,56,204303
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,57,205622
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,58,205954
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,59,208940
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,60,212358
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,61,212723
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,62,212659
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,63,207023
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,64,200226
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,65,192337
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,66,180085
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,67,167653
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,68,153289
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,69,137107
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,70,122553
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,71,107610
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,72,94614
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,73,81041
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,74,67302
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,75,55342
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,76,44952
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,77,34989
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,78,26711
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,79,20166
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,80,14263
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,81,10059
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,82,6626
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,83,4432
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,84,2615
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,85,1394
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,86,776
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,87,359
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,88,136
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,89,82
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,90,25
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,91,6
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,92,5
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,93,0
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,94,0
Genapsys_LAB01_Pool_REP01,Genapsys_LAB01_Pool_REP01,
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,8,13
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,9,26
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,10,89
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,11,664
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,12,1685
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,13,3295
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,14,5909
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,15,11373
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,16,19472
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,17,30479
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,18,46623
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,19,69864
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,20,101215
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,21,126851
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,22,159106
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,23,205027
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,24,255059
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,25,301783
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,26,356807
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,27,410013
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,28,449006
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,29,507173
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,30,547683
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,31,587894
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,32,600004
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,33,603713
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,34,582607
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,35,548383
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,36,495720
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,37,432825
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,38,367356
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,39,302685
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,40,241830
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,41,188543
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,42,140682
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,43,105799
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,44,76995
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,45,53727
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,46,38424
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,47,29950
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,48,22498
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,49,19787
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,50,18628
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,51,15894
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,52,12897
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,53,8668
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,54,7738
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,55,6125
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,56,5708
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,57,4301
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,58,2804
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,59,2678
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,60,2261
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,61,898
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,62,253
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,63,118
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,64,6
Genapsys_LAB01_Ste_REP01,Genapsys_LAB01_Ste_REP01,
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,12,8
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,13,25
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,14,54
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,15,149
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,16,295
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,17,520
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,18,656
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,19,1295
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,20,1876
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,21,2951
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,22,3624
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,23,5613
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,24,7251
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,25,9561
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,26,12668
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,27,16535
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,28,21237
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,29,25229
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,30,30560
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,31,35637
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,32,40747
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,33,48044
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,34,54945
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,35,62897
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,36,71685
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,37,80382
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,38,91623
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,39,106666
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,40,125542
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,41,145863
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,42,171724
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,43,202876
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,44,236498
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,45,277897
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,46,324205
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,47,372710
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,48,432067
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,49,486355
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,50,533453
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,51,579843
Genapsys_LAB02_Eco_REP01,Genapsys_LAB02_Eco_REP01,52,609514
